Date,Time
25/09/2013,1000-1400
01/11/2013,1830-2300
04/11/2013,0600-0800
13/11/2013,1000-1400
13/12/2013,1800-2200
14/12/2013,1800-2200
24/12/2013,1900-0000
31/12/2013,1830-0030
03/01/2013,0630-0830
02/05/2014,1200-1700
03/05/2014,1400-0200
04/05/2014,1000-1500
12/06/2014,0900-0900
21/06/2014,1000-1700
10/07/2014,1000-1900
14/07/2014,0600-0800
14/07/2014,1700-1900
15/07/2014,0600-0800
15/07/2014,1700-1900
16/07/2014,0600-0800
16/07/2014,1700-1900
17/07/2014,0600-0800
17/07/2014,1700-1900
18/07/2014,0600-0800
18/07/2014,2300-0100
19/07/2014,1100-1300
19/07/2014,2300-0100
20/07/2014,1700-1900
21/07/2014,0600-0800
21/07/2014,1700-1900
09/08/2014,1200-1400
09/08/2014,2259-2359
10/08/2014,1200-1400
10/08/2014,2259-2359
11/08/2014,1200-1400
11/08/2014,2259-2359
12/08/2014,1200-1400
12/08/2014,2259-2359
13/08/2014,1200-1400
13/08/2014,2259-2359
14/08/2014,1200-1400
14/08/2014,2259-2359
15/08/2014,1200-1400
15/08/2014,2259-2359
16/08/2014,1200-1400
16/08/2014,2259-2359
31/10/2014,1800-0800
01/11/2014,0800-0800
02/11/2014,0800-0800
03/11/2014,0800-0800
04/11/2014,0800-1800
09/12/2014,0900-0900
